result_lag_1,result_lag_2,result_lag_3,result_lag_4,result_lag_5,multiplier_lag_1,multiplier_lag_2,multiplier_lag_3,multiplier_lag_4,multiplier_lag_5,multiplier_mean_5,multiplier_mean_10,multiplier_mean_20,multiplier_std_5,multiplier_std_10,multiplier_std_20,hour,minute,day_of_week,is_weekend,hour_sin,hour_cos,previous_streak,result_1_count_10,result_1_count_20,result_2_count_10,result_2_count_20,result_5_count_10,result_5_count_20,result_10_count_10,result_10_count_20,result_20_count_10,result_20_count_20,result_40_count_10,result_40_count_20,result_50_count_10,result_50_count_20,target
1.0,1.0,10.0,1.0,2.0,1.0,1.0,10.0,1.0,2.0,3.0,5.8,4.45,3.937003937005903,6.142746399887704,4.860961568292949,1,41,3,0,0.25881904510252074,0.9659258262890683,2.0,3.0,6.0,3.0,7.0,0.0,2.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2
2.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,10.0,1.0,3.0,4.1,4.05,3.937003937005903,4.094712037087185,4.706937768644783,1,41,3,0,0.25881904510252074,0.9659258262890683,1.0,3.0,6.0,4.0,8.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1.0,2.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,10.0,3.0,3.2,4.05,3.937003937005903,3.6147844564602583,4.706937768644783,1,42,3,0,0.25881904510252074,0.9659258262890683,1.0,4.0,6.0,4.0,8.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.4,2.4,4.05,0.5477225575051466,2.7162065049951183,4.706937768644783,1,43,3,0,0.25881904510252074,0.9659258262890683,1.0,4.0,6.0,5.0,8.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.4,2.3,3.85,0.5477225575051466,2.7507574714370375,4.749238166053028,1,43,3,0,0.25881904510252074,0.9659258262890683,1.0,5.0,7.0,4.0,8.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.6,2.3,3.9,0.5477225575051466,2.7507574714370375,4.72284481619868,1,44,3,0,0.25881904510252074,0.9659258262890683,1.0,5.0,6.0,4.0,9.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5
5.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,2.2,2.6,4.05,1.6431676725154918,2.8751811537130467,4.706937768644783,1,45,3,0,0.25881904510252074,0.9659258262890683,1.0,5.0,6.0,3.0,8.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1.0,5.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,2.2,2.6,4.0,1.6431676725154918,2.8751811537130467,4.735087394291572,1,46,3,0,0.25881904510252074,0.9659258262890683,1.0,5.0,7.0,3.0,7.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.7,3.8,1.732050807568871,1.2516655570345805,4.774934554525329,1,46,3,0,0.25881904510252074,0.9659258262890683,2.0,6.0,8.0,3.0,7.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,1.7,3.8,1.732050807568871,1.2516655570345805,4.774934554525329,1,47,3,0,0.25881904510252074,0.9659258262890683,3.0,6.0,8.0,3.0,7.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,2.0,1.8,3.8,1.732050807568871,1.2292725943057263,4.774934554525329,1,48,3,0,0.25881904510252074,0.9659258262890683,1.0,5.0,8.0,4.0,7.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.2,1.7,2.9,0.4472135954999336,1.2516655570345805,3.1937438845342614,1,48,3,0,0.25881904510252074,0.9659258262890683,1.0,6.0,9.0,3.0,7.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.4,1.8,2.5,0.5477225575051463,1.2292725943057263,2.724160904127901,1,49,3,0,0.25881904510252074,0.9659258262890683,1.0,5.0,9.0,4.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.4,1.7,2.05,0.5477225575051463,1.2516655570345805,2.0894471693929484,1,50,3,0,0.25881904510252074,0.9659258262890683,1.0,6.0,10.0,3.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.6,1.8,2.05,0.5477225575051463,1.2292725943057263,2.0894471693929484,1,50,3,0,0.25881904510252074,0.9659258262890683,1.0,5.0,10.0,4.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,2.2,2.1,2.2,1.6431676725154916,1.5951314818673927,2.190890230020663,1,51,3,0,0.25881904510252074,0.9659258262890683,1.0,5.0,10.0,3.0,7.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2.0,5.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,2.4,1.8,2.2,1.5165750888103027,1.2292725943057263,2.190890230020663,1,52,3,0,0.25881904510252074,0.9659258262890683,1.0,5.0,10.0,4.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2.0,2.0,5.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,2.4,1.9,2.25,1.5165750888103027,1.197218999737873,2.1734038305216794,1,53,3,0,0.25881904510252074,0.9659258262890683,2.0,4.0,9.0,5.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.6,2.0,1.85,1.3416407864998656,1.1547005383792601,1.1821033884786152,1,53,3,0,0.25881904510252074,0.9659258262890683,3.0,3.0,9.0,6.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,5.0,2.4,2.0,1.85,1.5165750888103027,1.1547005383792601,1.1821033884786152,1,54,3,0,0.25881904510252074,0.9659258262890683,1.0,3.0,9.0,6.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
